uid;source;target;weight;timestamp
171;DELETE,/lobcder/dav/testRebind;DELETE,/lobcder/dav/testRebind;8;2014-01-14 14:12:13
172;DELETE,/lobcder/dav/testRebind;MKCOL,/lobcder/dav/testSimpleBind;8;2014-01-14 14:12:13
173;PUT,/lobcder/dav/testSimpleBind/bindtest1/res1;PUT,/lobcder/dav/testSimpleBind/bindtest2/res2;16;2014-01-14 14:12:14
174;PUT,/lobcder/dav/testSimpleBind/bindtest2/res2;PUT,/lobcder/dav/testSimpleBind/bindtest2/res2;16;2014-01-14 14:12:14
175;PUT,/lobcder/dav/testSimpleBind/bindtest2/res2;DELETE,/lobcder/dav/testSimpleBind;16;2014-01-14 14:12:14
176;DELETE,/lobcder/dav/testSimpleBind;MKCOL,/lobcder/dav/testSimpleBind;8;2014-01-14 14:12:14
177;DELETE,/lobcder/dav/testSimpleBind;MKCOL,/lobcder/dav/testParentSet;8;2014-01-14 14:12:14
178;MKCOL,/lobcder/dav/testParentSet;MKCOL,/lobcder/dav/testParentSet;8;2014-01-14 14:12:15
179;MKCOL,/lobcder/dav/testParentSet;MKCOL,/lobcder/dav/testParentSet/bindtest1;8;2014-01-14 14:12:15
180;MKCOL,/lobcder/dav/testParentSet/bindtest1;MKCOL,/lobcder/dav/testParentSet/bindtest1;8;2014-01-14 14:12:15
181;MKCOL,/lobcder/dav/testParentSet/bindtest1;MKCOL,/lobcder/dav/testParentSet/bindtest2;8;2014-01-14 14:12:15
182;MKCOL,/lobcder/dav/testParentSet/bindtest2;MKCOL,/lobcder/dav/testParentSet/bindtest2;8;2014-01-14 14:12:15
183;MKCOL,/lobcder/dav/testParentSet/bindtest2;PUT,/lobcder/dav/testParentSet/bindtest1/res1;8;2014-01-14 14:12:15
184;PUT,/lobcder/dav/testParentSet/bindtest1/res1;PUT,/lobcder/dav/testParentSet/bindtest1/res1;8;2014-01-14 14:12:15
185;PUT,/lobcder/dav/testParentSet/bindtest1/res1;DELETE,/lobcder/dav/testParentSet;8;2014-01-14 14:12:15
186;DELETE,/lobcder/dav/testParentSet;DELETE,/lobcder/dav/testParentSet;8;2014-01-14 14:12:15
187;DELETE,/lobcder/dav/testParentSet;MKCOL,/lobcder/dav/testBindCollections;8;2014-01-14 14:12:15
188;MKCOL,/lobcder/dav/testBindCollections;MKCOL,/lobcder/dav/testBindCollections;8;2014-01-14 14:12:15
189;MKCOL,/lobcder/dav/testBindCollections;MKCOL,/lobcder/dav/testBindCollections/a1;8;2014-01-14 14:12:15
190;MKCOL,/lobcder/dav/testBindCollections/a1;MKCOL,/lobcder/dav/testBindCollections/a1;8;2014-01-14 14:12:15
191;MKCOL,/lobcder/dav/testBindCollections/a1;MKCOL,/lobcder/dav/testBindCollections/a2;8;2014-01-14 14:12:15
192;MKCOL,/lobcder/dav/testBindCollections/a2;MKCOL,/lobcder/dav/testBindCollections/a2;8;2014-01-14 14:12:15
193;MKCOL,/lobcder/dav/testBindCollections/a2;MKCOL,/lobcder/dav/testBindCollections/a1/b1;8;2014-01-14 14:12:15
194;MKCOL,/lobcder/dav/testBindCollections/a1/b1;MKCOL,/lobcder/dav/testBindCollections/a1/b1;8;2014-01-14 14:12:15
195;MKCOL,/lobcder/dav/testBindCollections/a1/b1;MKCOL,/lobcder/dav/testBindCollections/a1/b1/c1;8;2014-01-14 14:12:16
196;MKCOL,/lobcder/dav/testBindCollections/a1/b1/c1;MKCOL,/lobcder/dav/testBindCollections/a1/b1/c1;8;2014-01-14 14:12:16
197;MKCOL,/lobcder/dav/testBindCollections/a1/b1/c1;PUT,/lobcder/dav/testBindCollections/a1/b1/c1/x1;8;2014-01-14 14:12:16
198;PUT,/lobcder/dav/testBindCollections/a1/b1/c1/x1;PUT,/lobcder/dav/testBindCollections/a1/b1/c1/x1;8;2014-01-14 14:12:16
199;PUT,/lobcder/dav/testBindCollections/a1/b1/c1/x1;DELETE,/lobcder/dav/testBindCollections;8;2014-01-14 14:12:16
200;DELETE,/lobcder/dav/testBindCollections;DELETE,/lobcder/dav/testBindCollections;8;2014-01-14 14:12:16
201;DELETE,/lobcder/dav/testBindCollections;MKCOL,/lobcder/dav/testUnbind;8;2014-01-14 14:12:16
202;MKCOL,/lobcder/dav/testUnbind;MKCOL,/lobcder/dav/testUnbind;8;2014-01-14 14:12:16
203;MKCOL,/lobcder/dav/testUnbind;MKCOL,/lobcder/dav/testUnbind/bindtest1;8;2014-01-14 14:12:16
204;MKCOL,/lobcder/dav/testUnbind/bindtest1;MKCOL,/lobcder/dav/testUnbind/bindtest1;8;2014-01-14 14:12:16
